DAILYTIMEBRACKET,YEAR,VALUE
1,2015,0.0006849315068493151
1,2016,0.0006849315068493151
1,2017,0.0006849315068493151
1,2018,0.0006849315068493151
1,2019,0.0006849315068493151
1,2020,0.0006849315068493151
1,2021,0.0006849315068493151
1,2022,0.0006849315068493151
1,2023,0.0006849315068493151
1,2024,0.0006849315068493151
1,2025,0.0006849315068493151
1,2026,0.0006849315068493151
1,2027,0.0006849315068493151
1,2028,0.0006849315068493151
1,2029,0.0006849315068493151
1,2030,0.0006849315068493151
1,2031,0.0006849315068493151
1,2032,0.0006849315068493151
1,2033,0.0006849315068493151
1,2034,0.0006849315068493151
1,2035,0.0006849315068493151
1,2036,0.0006849315068493151
1,2037,0.0006849315068493151
1,2038,0.0006849315068493151
1,2039,0.0006849315068493151
1,2040,0.0006849315068493151
1,2041,0.0006849315068493151
1,2042,0.0006849315068493151
1,2043,0.0006849315068493151
1,2044,0.0006849315068493151
1,2045,0.0006849315068493151
1,2046,0.0006849315068493151
1,2047,0.0006849315068493151
1,2048,0.0006849315068493151
1,2049,0.0006849315068493151
1,2050,0.0006849315068493151
1,2051,0.0006849315068493151
1,2052,0.0006849315068493151
1,2053,0.0006849315068493151
1,2054,0.0006849315068493151
1,2055,0.0006849315068493151
1,2056,0.0006849315068493151
1,2057,0.0006849315068493151
1,2058,0.0006849315068493151
1,2059,0.0006849315068493151
1,2060,0.0006849315068493151
2,2015,0.0017123287671232876
2,2016,0.0017123287671232876
2,2017,0.0017123287671232876
2,2018,0.0017123287671232876
2,2019,0.0017123287671232876
2,2020,0.0017123287671232876
2,2021,0.0017123287671232876
2,2022,0.0017123287671232876
2,2023,0.0017123287671232876
2,2024,0.0017123287671232876
2,2025,0.0017123287671232876
2,2026,0.0017123287671232876
2,2027,0.0017123287671232876
2,2028,0.0017123287671232876
2,2029,0.0017123287671232876
2,2030,0.0017123287671232876
2,2031,0.0017123287671232876
2,2032,0.0017123287671232876
2,2033,0.0017123287671232876
2,2034,0.0017123287671232876
2,2035,0.0017123287671232876
2,2036,0.0017123287671232876
2,2037,0.0017123287671232876
2,2038,0.0017123287671232876
2,2039,0.0017123287671232876
2,2040,0.0017123287671232876
2,2041,0.0017123287671232876
2,2042,0.0017123287671232876
2,2043,0.0017123287671232876
2,2044,0.0017123287671232876
2,2045,0.0017123287671232876
2,2046,0.0017123287671232876
2,2047,0.0017123287671232876
2,2048,0.0017123287671232876
2,2049,0.0017123287671232876
2,2050,0.0017123287671232876
2,2051,0.0017123287671232876
2,2052,0.0017123287671232876
2,2053,0.0017123287671232876
2,2054,0.0017123287671232876
2,2055,0.0017123287671232876
2,2056,0.0017123287671232876
2,2057,0.0017123287671232876
2,2058,0.0017123287671232876
2,2059,0.0017123287671232876
2,2060,0.0017123287671232876
3,2015,0.00034246575342465754
3,2016,0.00034246575342465754
3,2017,0.00034246575342465754
3,2018,0.00034246575342465754
3,2019,0.00034246575342465754
3,2020,0.00034246575342465754
3,2021,0.00034246575342465754
3,2022,0.00034246575342465754
3,2023,0.00034246575342465754
3,2024,0.00034246575342465754
3,2025,0.00034246575342465754
3,2026,0.00034246575342465754
3,2027,0.00034246575342465754
3,2028,0.00034246575342465754
3,2029,0.00034246575342465754
3,2030,0.00034246575342465754
3,2031,0.00034246575342465754
3,2032,0.00034246575342465754
3,2033,0.00034246575342465754
3,2034,0.00034246575342465754
3,2035,0.00034246575342465754
3,2036,0.00034246575342465754
3,2037,0.00034246575342465754
3,2038,0.00034246575342465754
3,2039,0.00034246575342465754
3,2040,0.00034246575342465754
3,2041,0.00034246575342465754
3,2042,0.00034246575342465754
3,2043,0.00034246575342465754
3,2044,0.00034246575342465754
3,2045,0.00034246575342465754
3,2046,0.00034246575342465754
3,2047,0.00034246575342465754
3,2048,0.00034246575342465754
3,2049,0.00034246575342465754
3,2050,0.00034246575342465754
3,2051,0.00034246575342465754
3,2052,0.00034246575342465754
3,2053,0.00034246575342465754
3,2054,0.00034246575342465754
3,2055,0.00034246575342465754
3,2056,0.00034246575342465754
3,2057,0.00034246575342465754
3,2058,0.00034246575342465754
3,2059,0.00034246575342465754
3,2060,0.00034246575342465754
